"Tipo","Preco","Area","Quartos","Banheiros","Endereco","Estado","Cidade","lat","long"
"AP",1000,36,1,1,"Rua Coronel José Rodrigues Sobral, 72 - Partenon, Porto Alegre - RS, Brazil","RS","Porto Alegre",-30.0644644,-51.1861347
"AP",2800,48,2,1,"Rua Adriano Racine, 65 - Jardim Celeste, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",850,30,1,1,"Avenida Rio de Janeiro, 1684 - Centro, Londrina - PR, Brazil","PR","Londrina",-23.3249615,-51.1590695
"AP",2200,140,3,3,"Rua Paulo Di Favari - Vila Caminho do Mar, São Bernardo do Campo - SP, Brazil","SP","São Bernardo do Campo",NA,NA
"AP",1200,63,2,1,"Rua Catanduva - Jardim Leocadia, Sorocaba - SP, Brazil","SP","Sorocaba",-23.4664758,-47.4346146
"AP",1500,52,2,1,"Rua Luiz Oscar de Carvalho, 75 - Trindade, Florianópolis - SC, Brazil","SC","Florianópolis",-27.5895263,-48.5200012
"AP",2000,80,2,2,"Vila Valparaiso, Santo André - SP, Brazil","SP","Santo André",-23.667826,-46.5473436
"AP",2700,50,1,1,"Rua Bela Cintra - Jardim América, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",1121,58,2,1,"Rua Nossa Senhora Conceição Aparecida, 241 - Quitaúna, Osasco - SP, Brazil","SP","Osasco",NA,NA
"AP",3000,77,3,1,"Rua Ouvidor Peleja - Vila Mariana, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",3700,160,4,2,"Avenida Afonso Pena, 1470 - Funcionários, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",-19.9389552,-43.926157
"AP",2149,90,3,3,"Rua Jasmim - Chácara Primavera, Campinas - SP, Brazil","SP","Campinas",-22.9109367,-47.2084067
"AP",1550,67,1,2,"Alto Ipiranga, Mogi das Cruzes - SP, Brazil","SP","Mogi das Cruzes",-23.530426,-46.2017298
"AP",1600,72,2,3,"Butantã, São Paulo - SP, Brazil","SP","São Paulo",-23.5690555,-46.7218833626702
"AP",5500,88,2,3,"Rua Conselheiro Brotero - Higienópolis, São Paulo - SP, Brazil","SP","São Paulo",-23.5396349,-46.661481
"AP",3000,70,2,1,"Alameda Grajaú, 585 - Alphaville Comercial, Barueri - SP, Brazil","SP","Barueri",NA,NA
"AP",1000,50,1,2,"Rua Osório Franco Vilhena - Vila Nova Curuca, São Paulo - SP, Brazil","SP","São Paulo",-23.5151709,-46.419012
"AP",1200,67,2,1,"Parque Campolim, Sorocaba - SP, Brazil","SP","Sorocaba",-23.5262482,-47.4648183
"AP",1900,70,2,1,"Rua Cajaíba, 453 - Sumaré, São Paulo - SP, Brazil","SP","São Paulo",-23.5405027,-46.6827433
"AP",900,68,2,2,"Jardim Palma Travassos, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",NA,NA
"AP",1350,55,2,1,"Rua José Ataliba Ortiz - Parque São Domingos, São Paulo - SP, Brazil","SP","São Paulo",-23.4989198,-46.7452231
"AP",6620,70,2,2,"Moema, São Paulo - SP, Brazil","SP","São Paulo",-23.597085,-46.6628884
"AP",1970,45,2,1,"Avenida Pires do Rio, 4615 - Itaquera, São Paulo - SP, Brazil","SP","São Paulo",-23.5340348,-46.454401
"AP",3000,70,2,2,"Jardim Marajoara, São Paulo - SP, Brazil","SP","São Paulo",-23.6553634,-46.6849371
"AP",1000,100,3,2,"Avenida Paraná, 123 - Centro, Londrina - PR, Brazil","PR","Londrina",-23.3107634,-51.1642871739665
"AP",1600,70,2,3,"Rua Izabel Negrão Bertotti, 101 - Mansões Santo Antônio, Campinas - SP, Brazil","SP","Campinas",NA,NA
"AP",4100,80,2,3,"Rua Alberto de Campos - Ipanema, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9811522,-43.2027564
"AP",1110,80,2,1,"Rua Romualdo Lopes Cançado, 800 - Castelo, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",-19.8922628,-43.9962662
"AP",2620,67,2,1,"Avenida Doutor Roberto de Almeida Vinhas - Maracanã, Praia Grande - SP, Brazil","SP","Praia Grande",NA,NA
"AP",550,55,2,1,"Avenida da Saudade - Campos Eliseos, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",NA,NA
"AP",1544,60,2,1,"Rua Gavião Peixoto, 401 - Icaraí, Niterói - RJ, Brazil","RJ","Niterói",-22.90315,-43.1106634
"AP",850,45,2,1,"Recreio São Judas Tadeu, São Carlos - SP, Brazil","SP","São Carlos",NA,NA
"AP",3500,144,4,5,"Avenida Wladimir Meirelles Ferreira - Jardim Botânico, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2097137,-47.7990443
"AP",4500,125,3,4,"Rua Baturité - Aclimação, São Paulo - SP, Brazil","SP","São Paulo",-23.5699076,-46.6283323
"AP",1900,59,1,1,"Praça José de Alencar - Flamengo, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9332063,-43.1775770899668
"AP",1500,60,2,2,"Rua Rodrigues Dórea, 428 - Jardim Armacao, Salvador - BA, Brazil","BA","Salvador",-12.986921,-38.4348506
"AP",1800,69,2,2,"Avenida Clavásio Alves da Silva, 820 - Casa Verde, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",1800,40,1,1,"Rua Marechal Cantuária, 75 - Urca, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9510068,-43.1681974
"AP",1100,36,1,1,"Residencial Flórida, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",NA,NA
"AP",1100,103,3,2,"Centro, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.1780948,-47.8093737
"AP",2700,75,2,1,"Barcelona, São Caetano do Sul - SP, Brazil","SP","São Caetano do Sul",-23.6203476,-46.5504286
"AP",850,33,1,1,"Rua Engenheiro Leopoldo Vila Nova, 55 - São Cristovão, Passo Fundo - RS, Brazil","RS","Passo Fundo",-28.2702518,-52.3867278
"AP",2000,96,3,1,"Jardim Botânico, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2157061,-47.7953542
"AP",1200,47,1,2,"Jardim Doutor Julio de Mesquita Filho, Bragança Paulista - SP, Brazil","SP","Bragança Paulista",NA,NA
"AP",2800,123,3,1,"Rua Expedicionário Holz, 377 - América, Joinville - SC, Brazil","SC","Joinville",-26.3007313,-48.8538836
"AP",850,50,2,1,"Alameda dos Gladiolos - Jardim Simus, Sorocaba - SP, Brazil","SP","Sorocaba",-23.4988614,-47.4969744
"AP",1700,77,3,1,"Avenida Braz Olaia Acosta - Nova Aliança, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2125872,-47.8195344
"AP",1300,33,1,1,"Avenida do Estado - Cambuci, São Paulo - SP, Brazil","SP","São Paulo",-23.5643365,-46.6108561
"AP",1500,70,1,1,"Rua Álvares de Azevedo, 77 - Icaraí, Niterói - RJ, Brazil","RJ","Niterói",-22.9032318571429,-43.1136517142857
"AP",1700,40,1,1,"Vila Altinópolis, Bauru - SP, Brazil","SP","Bauru",-22.328102,-49.0634905
"AP",5500,130,3,4,"Enseada, Guarujá - SP, Brazil","SP","Guarujá",-23.9840599,-46.2311059
"AP",900,55,2,1,"Vila Fiori, Sorocaba - SP, Brazil","SP","Sorocaba",-23.4775412,-47.4667724
"AP",2100,100,3,1,"Avenida Princesa Isabel, 282 - Copacabana, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9651072,-43.1733607
"AP",2100,70,2,2,"Rua Paracatu, 575 - Saúde, São Paulo - SP, Brazil","SP","São Paulo",-23.6214381,-46.6409721
"AP",1500,42,2,1,"Rua Dona Tecla, 350 - Picanço, Guarulhos - SP, Brazil","SP","Guarulhos",-23.443966,-46.5391602
"AP",2500,70,1,2,"Rua Fonte da Saudade - Lagoa, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9657406,-43.202523
"AP",2850,70,3,2,"Rua Alexandre Calame, 80 - Jaguaré, São Paulo - SP, Brazil","SP","São Paulo",-23.5537292,-46.7384636
"AP",900,45,1,1,"Rua General Bento Martins, 495 - Centro Histórico, Porto Alegre - RS, Brazil","RS","Porto Alegre",-30.0317639,-51.2351468
"AP",1700,55,1,1,"Rua Gama Cerqueira - Cambuci, São Paulo - SP, Brazil","SP","São Paulo",-23.5709779,-46.6197538
"AP",1500,65,3,2,"Rua Santa Rita do Passa Quatro, 121 - Jardim Nova Europa, Campinas - SP, Brazil","SP","Campinas",NA,NA
"AP",1850,62,2,2,"Rua Gonçalves Dias, 1115 - Menino Deus, Porto Alegre - RS, Brazil","RS","Porto Alegre",-30.0498859,-51.2201314
"AP",3200,123,3,1,"Jardim Botânico, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2157061,-47.7953542
"AP",1650,80,2,2,"Barra, Tramandaí - RS, Brazil","RS","Tramandaí",-29.9817551,-50.1238096
"AP",2900,110,2,2,"Consolação, São Paulo - SP, Brazil","SP","São Paulo",-23.557818,-46.6605373
"AP",2000,50,1,1,"Alameda Itu, 285 - Jardim Paulista, São Paulo - SP, Brazil","SP","São Paulo",-23.5666025,-46.6563894
"AP",667,40,1,1,"Jardim Paulistano, São Carlos - SP, Brazil","SP","São Carlos",-21.9948793,-47.8979829
"AP",2200,50,1,1,"Avenida Doutor Altino Arantes - Vila Clementino, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",1500,63,2,1,"Rua São Tiago, 312 - Jardim Cocaia, Guarulhos - SP, Brazil","SP","Guarulhos",-23.4391506,-46.5197436
"AP",1600,78,3,2,"Rua Senador Soares - Vila Isabel, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9198939,-43.2414887
"AP",2600,65,2,1,"Rua João Moura, 1182 - Pinheiros, São Paulo - SP, Brazil","SP","São Paulo",-23.5556538,-46.6809554
"AP",900,90,3,2,"Santa Mônica, Uberlândia - MG, Brazil","MG","Uberlândia",-18.9090701,-48.2355051167523
"AP",1100,53,2,1,"Santa Maria, Osasco - SP, Brazil","SP","Osasco",-23.5615472,-46.780315
"AP",1700,40,1,1,"Vila Altinópolis, Bauru - SP, Brazil","SP","Bauru",-22.328102,-49.0634905
"AP",1600,74,2,2,"Jardim Maria Augusta, Taubaté - SP, Brazil","SP","Taubaté",-23.0253723,-45.5442469
"AP",1450,74,1,2,"Vila Osasco, Osasco - SP, Brazil","SP","Osasco",-23.5391101,-46.7823571
"AP",700,47,1,1,"Travessa Fagundes Varela, 36 - Nossa Senhora de Fátima, Santa Maria - RS, Brazil","RS","Santa Maria",-29.6901537,-53.8128078
"AP",3500,96,3,3,"Jardim São Luiz, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-20.7426747,-48.8900346
"AP",3700,100,3,3,"Funcionários, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",-19.9325162,-43.9273182734633
"AP",1200,39,1,1,"Avenida Presidente Juscelino Kubitschek - Monte Castelo, São José dos Campos - SP, Brazil","SP","São José dos Campos",-23.1821424,-45.865581
"AP",1400,46,2,1,"Rodovia Admar Gonzaga - Itacorubi, Florianópolis - SC, Brazil","SC","Florianópolis",-27.58709,-48.4983343
"AP",1804,63,2,1,"Avenida do Café - Vila Amélia, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",NA,NA
"AP",1000,34,1,1,"Rua Boaventura, 1003 - Liberdade, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",-19.8630226,-43.9552712
"AP",2400,49,1,1,"Melville Empresarial Ii, Barueri - SP, Brazil","SP","Barueri",-23.4838174,-46.8492753
"AP",6800,170,3,1,"Alameda Lorena - Jardim América, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",3300,67,2,2,"Rua Tomaz Gonzaga, 706 - Lourdes, Belo Horizonte - MG, Brazil","MG","Belo Horizonte",-19.9322829,-43.9435886
"AP",1400,44,2,1,"Avenida Professor Edgar Santos, 514 - Artur Alvim, São Paulo - SP, Brazil","SP","São Paulo",-23.5496472,-46.4969781
"AP",1650,56,2,2,"Avenida Bartholomeu de Carlos, 901 - Picanço, Guarulhos - SP, Brazil","SP","Guarulhos",NA,NA
"AP",1200,33,1,1,"Alameda Eduardo Prado, 150 - Campos Eliseos, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",1800,65,3,2,"Rua Hermantino Coelho, 743 - Mansões Santo Antônio, Campinas - SP, Brazil","SP","Campinas",NA,NA
"AP",3300,60,2,2,"Rua dos Americanos, 838 - Barra Funda, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
"AP",1700,84,2,1,"Parque São Lourenço, Indaiatuba - SP, Brazil","SP","Indaiatuba",NA,NA
"AP",2500,75,2,2,"Avenida Brigadeiro Luís Antônio - Bela Vista, São Paulo - SP, Brazil","SP","São Paulo",-23.5572167,-46.6406195
"AP",2200,73,2,2,"Rua Nanuque - Vila Leopoldina, São Paulo - SP, Brazil","SP","São Paulo",-23.5291793,-46.7282666
"AP",650,65,3,2,"Avenida da Saudade - Campos Eliseos, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",NA,NA
"AP",850,61,2,1,"Rua Laura Maiello Kook - Jardim Novo Mundo, Sorocaba - SP, Brazil","SP","Sorocaba",NA,NA
"AP",2300,55,2,1,"Rua Engenheiro Américo de Carvalho Ramos, 44 - Vila Gumercindo, São Paulo - SP, Brazil","SP","São Paulo",-23.6038047,-46.6197885
"AP",1250,30,1,1,"Avenida Braz Olaia Acosta - Nova Aliança, Ribeirão Preto - SP, Brazil","SP","Ribeirão Preto",-21.2125872,-47.8195344
"AP",2800,77,2,2,"Rua Eça de Queiroz - Vila Mariana, São Paulo - SP, Brazil","SP","São Paulo",-23.5781643,-46.6409268
"AP",1800,51,2,1,"Rua Raul Pompéia - Copacabana, Rio de Janeiro - RJ, Brazil","RJ","Rio de Janeiro",-22.9820983,-43.1922743
"AP",2300,73,2,2,"Rua da Chibata - Vila Andrade, São Paulo - SP, Brazil","SP","São Paulo",-23.6257769,-46.7439616
"AP",2000,70,3,2,"Avenida Interlagos, 5699 - Interlagos, São Paulo - SP, Brazil","SP","São Paulo",-23.6957641,-46.6999822
"AP",2000,41,1,1,"Rua Rubens Meireles, 99 - Barra Funda, São Paulo - SP, Brazil","SP","São Paulo",NA,NA
